"N0","class","proc","category","area","ITEMS","VOLUME","","SPEK","UNIT PRICE","TOTAL PRICE","UNIT PRICE","TOTAL PRICE","d","%"
"2","AR","B","GYPSUM","1","Pekerjaan Pasang  Plafond Gypsum ","53.00","m²","A- plus"," Rp 394,200 "," Rp 20,892,600 "," Rp 44,500.00 "," Rp 2,358,500 "," Rp 18,534,100.00 ","0.74%"
"3","AR","B","GYPSUM","1","Pengecatan Plafond Gypsum ","53.00","m²","Dulux Pentalite"," Rp 109,500 "," Rp 5,803,500 "," Rp 35,000.00 "," Rp 1,855,000 "," Rp 3,948,500.00 ","0.21%"
"","","","","1","Musholla + Area Wudhu","","","","","","","","0","0.82%"
"1","AR","B","GYPSUM","1","Pasang Rangka Plafond Hollow","42.00","m²","Hollow 0,4"," Rp 350,400 "," Rp 14,716,800 "," Rp 47,700.00 "," Rp 2,003,400 "," Rp 12,713,400.00 ","0.52%"
"2","AR","B","GYPSUM","1","Pekerjaan Pasang  Plafond Gypsum ","42.00","m²","A- plus"," Rp 131,400 "," Rp 5,518,800 "," Rp 44,500.00 "," Rp 1,869,000 "," Rp 3,649,800.00 ","0.20%"
"3","AR","B","GYPSUM","1","Pengecatan Plafond Gypsum ","42.00","m²","Dulux Pentalite"," Rp 65,700 "," Rp 2,759,400 "," Rp 35,000.00 "," Rp 1,470,000 "," Rp 1,289,400.00 ","0.10%"
"","","","","1","Toilet + Janitor","","","","","","","","0","0.66%"
"1","AR","B","GYPSUM","1","Pasang Rangka Plafond Hollow","34.00","m²","Hollow 0,4"," Rp 350,400 "," Rp 11,913,600 "," Rp 47,700.00 "," Rp 1,621,800 "," Rp 10,291,800.00 ","0.42%"
"2","AR","B","GYPSUM","1","Pekerjaan Pasang  Plafond Gypsum ","34.00","m²","A- plus"," Rp 131,400 "," Rp 4,467,600 "," Rp 44,500.00 "," Rp 1,513,000 "," Rp 2,954,600.00 ","0.16%"
"3","AR","B","GYPSUM","1","Pengecatan Plafond Gypsum ","34.00","m²","Dulux Pentalite"," Rp 65,700 "," Rp 2,233,800 "," Rp 35,000.00 "," Rp 1,190,000 "," Rp 1,043,800.00 ","0.08%"
"","","","","1","Akses","","","","","","","","0","0.84%"
"1","AR","B","GYPSUM","1","Pasang Rangka Plafond Hollow","43.00","m²","Hollow 0,4"," Rp 350,400 "," Rp 15,067,200 "," Rp 47,700.00 "," Rp 2,051,100 "," Rp 13,016,100.00 ","0.54%"
"2","AR","B","GYPSUM","1","Pekerjaan Pasang  Plafond Gypsum ","43.00","m²","A- plus"," Rp 131,400 "," Rp 5,650,200 "," Rp 44,500.00 "," Rp 1,913,500 "," Rp 3,736,700.00 ","0.20%"
"3","AR","B","GYPSUM","1","Pengecatan Plafond Gypsum ","43.00","m²","Dulux Pentalite"," Rp 65,700 "," Rp 2,825,100 "," Rp 35,000.00 "," Rp 1,505,000 "," Rp 1,320,100.00 ","0.10%"
"","","","","1","Storage","","","","","","","","0","0.97%"
"1","AR","B","GYPSUM","1","Pasang Rangka Plafond Hollow","50.00","m²","Hollow 0,4"," Rp 350,400 "," Rp 17,520,000 "," Rp 47,700.00 "," Rp 2,385,000 "," Rp 15,135,000.00 ","0.62%"
"2","AR","B","GYPSUM","1","Pekerjaan Pasang  Plafond Gypsum ","50.00","m²","A- plus"," Rp 131,400 "," Rp 6,570,000 "," Rp 44,500.00 "," Rp 2,225,000 "," Rp 4,345,000.00 ","0.23%"
"3","AR","B","GYPSUM","1","Pengecatan Plafond Gypsum ","50.00","m²","Dulux Pentalite"," Rp 65,700 "," Rp 3,285,000 "," Rp 35,000.00 "," Rp 1,750,000 "," Rp 1,535,000.00 ","0.12%"
"2.1.3","","","","","Pekerjaan Penutup Lantai","","","","","","","","0",""
"","","","","","Workstation","","","","","","","","0",""
"1","AR","B","KARPET","1","Pekerjaan Pasang Plywood Underlayer Karpet","173.00","m²",""," Rp 65,700 "," Rp 11,366,100 "," Rp 45,000.00 "," Rp 7,785,000 "," Rp 3,581,100.00 ","0.40%"
"2","AR","B","KARPET","1","Pekerjaan Pasang Karpet + Material Karpet Tile","173.00","m²",""," Rp 393,750 "," Rp 68,118,750 "," Rp 315,000.00 "," Rp 54,495,000 "," Rp 13,623,750.00 ","2.42%"
"3","AR","B","KARPET","1","Pekerjaan Pasang Skirting ","56.00","m'",""," Rp 109,500 "," Rp 6,132,000 "," Rp 75,000.00 "," Rp 4,200,000 "," Rp 1,932,000.00 ","0.22%"
"","","","","1","Holding Area","","","","","","","","",""
"1","AR","B","KARPET","1","Pekerjaan Pasang Plywood Underlayer Karpet","55.00","m²",""," Rp 65,700 "," Rp 3,613,500 "," Rp 45,000.00 "," Rp 2,475,000 "," Rp 1,138,500.00 ","0.13%"
