"N0","class","proc","category","area","ITEMS","VOLUME","","SPEK","UNIT PRICE","TOTAL PRICE","UNIT PRICE","TOTAL PRICE","d","%"
"3","fu","M","meja","1","Meja Staff Group of 6","2.00","unit",""," Rp 13,140,000 "," Rp 26,280,000 "," Rp 9,000,000.00 "," Rp 18,000,000 "," Rp 8,280,000.00 ","0.94%"
"4","fu","B","meja","1","Meja Manager Tipe B","5.00","unit",""," Rp 4,380,000 "," Rp 21,900,000 "," Rp 3,000,000.00 "," Rp 15,000,000 "," Rp 6,900,000.00 ","0.78%"
"5","fu","B","kursi","1","Pekerjaan Kursi Kerja Staff (By Owner)","0.00","unit","","0","0"," Rp 1,200,000.00 ","0","0","0.00%"
"6","fu","B","kursi","1","Pekerjaan Kursi Kerja Manager (By Owner)","0.00","unit","","0","0"," Rp 1,500,000.00 ","0","0","0.00%"
"7","fu","M","storage dan pelengkap","1","Kabinet Storage + Dispenser (F1)","1.00","unit",""," Rp 29,127,000 "," Rp 29,127,000 "," Rp 15,407,700.00 "," Rp 15,407,700 "," Rp 13,719,300.00 ","1.04%"
"8","fu","M","storage dan pelengkap","1","Planter Tipe A (F7)","8.00","unit",""," Rp 1,898,000 "," Rp 15,184,000 "," Rp 1,300,000.00 "," Rp 10,400,000 "," Rp 4,784,000.00 ","0.54%"
"","","","","1","Holding","","","","","","","","",""
"1","fu","B","meja","1","Meja Manager Tipe B (Holding)","2.00","unit",""," Rp 4,380,000 "," Rp 8,760,000 "," Rp 3,000,000.00 "," Rp 6,000,000 "," Rp 2,760,000.00 ","0.31%"
"2","fu","M","meja","1","Meja Staff 1 Seat Tipe A","4.00","unit",""," Rp 2,190,000 "," Rp 8,760,000 "," Rp 1,500,000.00 "," Rp 6,000,000 "," Rp 2,760,000.00 ","0.31%"
"3","fu","M","meja rapat","1","Meja Diskusi 4 Seat","1.00","unit",""," Rp 5,110,000 "," Rp 5,110,000 "," Rp 3,500,000.00 "," Rp 3,500,000 "," Rp 1,610,000.00 ","0.18%"
"4","fu","B","kursi","1","Pekerjaan Kursi Kerja Staff (By Owner)","0.00","unit","","0","0"," Rp 1,200,000.00 ","0","0","0.00%"
"5","fu","B","kursi","1","Pekerjaan Kursi Kerja Manager (By Owner)","0.00","unit","","0","0"," Rp 1,500,000.00 ","0","0","0.00%"
"6","fu","M","storage dan pelengkap","1","Kabinet TV + Dispenser","1.00","unit",""," Rp 29,127,000 "," Rp 29,127,000 "," Rp 19,950,000.00 "," Rp 19,950,000 "," Rp 9,177,000.00 ","1.04%"
"7","fu","M","storage dan pelengkap","1","Kabinet Storage Tipe C","1.00","unit",""," Rp 35,040,000 "," Rp 35,040,000 "," Rp 24,000,000.00 "," Rp 24,000,000 "," Rp 11,040,000.00 ","1.25%"
"8","fu","M","storage dan pelengkap","1","Planter Tipe A (F7)","2.00","unit",""," Rp 1,898,000 "," Rp 3,796,000 "," Rp 1,300,000.00 "," Rp 2,600,000 "," Rp 1,196,000.00 ","0.14%"
"","","","","1","Storage","","","","","","","","",""
"1","fu","M","meja","1","Meja Staff 1 Seat Tipe A","1.00","unit",""," Rp 2,190,000 "," Rp 2,190,000 "," Rp 1,500,000.00 "," Rp 1,500,000 "," Rp 690,000.00 ","0.08%"
"2","fu","B","kursi","1","Pekerjaan Kursi Kerja Staff","0.00","unit","","0","0"," Rp 1,200,000.00 ","0","0","0.00%"
"","","","","1","Mushola","","","","","","","","",""
"1","fu","M","storage dan pelengkap","1","Pekerjaan Storage C 600x300x1000 (FX)","1.00","unit",""," Rp 1,022,000 "," Rp 1,022,000 "," Rp 700,000.00 "," Rp 700,000 "," Rp 322,000.00 ","0.04%"
"","","","","1","Area Wudhu","","","","","","","","",""
"1","fu","M","storage dan pelengkap","1","Pekerjaan Storage C 600x300x1000 (FX)","2.00","unit",""," Rp 1,460,000 "," Rp 2,920,000 "," Rp 1,000,000.00 "," Rp 2,000,000 "," Rp 920,000.00 ","0.10%"
"","","","","1","Janitor","","","","","","","","",""
"1","fu","M","storage dan pelengkap","1","Pekerjaan Storage D 1250x450x2500 (F5)","1.00","unit",""," Rp 4,672,000 "," Rp 4,672,000 "," Rp 3,200,000.00 "," Rp 3,200,000 "," Rp 1,472,000.00 ","0.17%"
"","","","","1","Electronics","","","","","","","","",""
"1","","","","1","Toshiba Android TV 43 inch (By Owner)","0.00","unit",""," Rp 6,840,000 ","0"," Rp 5,700,000.00 ","0","0","0.00%"
"4.2","","","","","LANTAI 2","","","","","","","","",""
"4.2.1","","","","2","Pekerjaan Instalasi dan Pemasangan Furniture","","","","","","","","",""
"1","FU","M","instalasi","2","Pemasangan Loose Furniture","1.00","ls",""," Rp 1,752,000 "," Rp 1,752,000 ","0","0"," Rp 1,752,000.00 ","0.06%"
"2","FU","M","instalasi","2","Pemasangan Built Furniture","1.00","ls",""," Rp 3,504,000 "," Rp 3,504,000 ","0","0"," Rp 3,504,000.00 ","0.12%"
"4.2.2","","","","2","Pekerjaan Furniture","","","","","","","","",""
"","","","","2","Workstation","","","","","","","","",""
"1","fu","B","meja","2","Meja Manager Tipe A (2 meters wide) (-2)","5.00","unit",""," Rp 6,570,000 "," Rp 32,850,000 "," Rp 5,500,000.00 "," Rp 27,500,000 "," Rp 5,350,000.00 ","1.17%"
"2","fu","B","meja","2","Meja Manager Tipe B","6.00","unit",""," Rp 4,380,000 "," Rp 26,280,000 "," Rp 3,000,000.00 "," Rp 18,000,000 "," Rp 8,280,000.00 ","0.94%"
"3","fu","M","meja","2","Meja Staff Group of 2","1.00","unit",""," Rp 8,760,000 "," Rp 8,760,000 "," Rp 3,000,000.00 "," Rp 3,000,000 "," Rp 5,760,000.00 ","0.31%"
"3","fu","M","meja","2","Meja Staff Group of 4 Tipe B","4.00","unit",""," Rp 8,760,000 "," Rp 35,040,000 "," Rp 6,000,000.00 "," Rp 24,000,000 "," Rp 11,040,000.00 ","1.25%"
"3","fu","M","meja","2","Meja Staff Group of 6","1.00","unit",""," Rp 8,760,000 "," Rp 8,760,000 "," Rp 9,000,000.00 "," Rp 9,000,000 ","-Rp 240,000.00 ","0.31%"
"4","fu","B","kursi","2","Pekerjaan Kursi Kerja Staff (By Owner)","0.00","unit","","0","0"," Rp 1,200,000.00 ","0","0","0.00%"
"5","fu","B","kursi","2","Pekerjaan Kursi Kerja Manager (By Owner)","0.00","unit","","0","0"," Rp 1,500,000.00 ","0","0","0.00%"
"6","fu","M","storage dan pelengkap","2","Kabinet Storage Office (F4)","2.00","unit",""," Rp 29,127,000 "," Rp 58,254,000 "," Rp 16,808,400.00 "," Rp 33,616,800 "," Rp 24,637,200.00 ","2.07%"
"7","fu","M","storage dan pelengkap","2","Planter Tipe A (F7)","4.00","unit",""," Rp 1,898,000 "," Rp 7,592,000 "," Rp 1,300,000.00 "," Rp 5,200,000 "," Rp 2,392,000.00 ","0.27%"
"","","","","2","Small Meeting","","","","","","","","",""
"1","fu","M","storage dan pelengkap","2","Backdrop TV","1.00","unit",""," Rp 2,190,000 "," Rp 2,190,000 "," Rp 1,500,000.00 "," Rp 1,500,000 "," Rp 690,000.00 ","0.08%"
"2","fu","M","meja rapat","2","Meja Diskusi 8 Seat","1.00","unit",""," Rp 5,110,000 "," Rp 5,110,000 "," Rp 3,500,000.00 "," Rp 3,500,000 "," Rp 1,610,000.00 ","0.18%"
"3","fu","B","kursi","2","Pekerjaan Kursi Kerja Staff","0.00","unit","","0","0"," Rp 1,200,000.00 ","0","0","0.00%"
"","","","","2","Electronics","","","","","","","","",""
"1","FU","M","elektronik","2","Toshiba Android TV 43 inch (By Owner)","0.00","unit",""," Rp 6,840,000 ","0","0","0","0","0.00%"
"","","","","2","Others","","","","","","","","",""
"1","fu","M","storage dan pelengkap","2","Roller Blind (14 m2 x 2 + 10m2 x2) ","1.00","Ls",""," Rp 29,200,000 "," Rp 29,200,000 "," Rp 20,000,000.00 "," Rp 20,000,000 ","","1.04%"
